Temperature (K)	Pressure (bar)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
176.87	1.0000	68.291	0.014643	2.1926	3.6569	143.92	12.509	20.970	247.36	0.91260	1.4301e-05	0.011206	vapor
176.87	3.5789	247.15	0.0040461	2.1591	3.6071	133.13	12.607	21.463	246.49	0.90660	1.4379e-05	0.011345	vapor
176.87	6.1579	430.12	0.0023249	2.1249	3.5565	128.42	12.708	21.984	245.63	0.90037	1.4463e-05	0.011492	vapor
176.87	8.7368	617.43	0.0016196	2.0900	3.5050	125.31	12.811	22.537	244.77	0.89391	1.4553e-05	0.011648	vapor
176.87	11.316	809.30	0.0012356	2.0544	3.4526	122.96	12.918	23.124	243.92	0.88717	1.4649e-05	0.011814	vapor
176.87	13.895	1006.0	0.00099403	2.0180	3.3992	121.04	13.027	23.748	243.06	0.88016	1.4752e-05	0.011991	vapor
176.87	16.474	1207.8	0.00082795	1.9809	3.3448	119.42	13.139	24.414	242.22	0.87283	1.4863e-05	0.012180	vapor
176.87	19.053	1415.0	0.00070670	1.9428	3.2893	117.99	13.254	25.124	241.38	0.86516	1.4981e-05	0.012381	vapor
176.87	21.632	1628.0	0.00061426	1.9039	3.2327	116.71	13.373	25.884	240.55	0.85714	1.5108e-05	0.012596	vapor
176.87	24.211	1847.0	0.00054141	1.8640	3.1748	115.54	13.495	26.698	239.73	0.84872	1.5245e-05	0.012827	vapor
176.87	26.789	2072.6	0.00048249	1.8232	3.1158	114.46	13.621	27.573	238.93	0.83989	1.5391e-05	0.013073	vapor
176.87	29.368	2305.0	0.00043384	1.7812	3.0554	113.45	13.751	28.513	238.13	0.83061	1.5547e-05	0.013337	vapor
176.87	31.947	2544.8	0.00039295	1.7382	2.9936	112.50	13.885	29.527	237.36	0.82086	1.5715e-05	0.013621	vapor
176.87	34.526	2792.5	0.00035810	1.6939	2.9303	111.60	14.023	30.622	236.60	0.81059	1.5895e-05	0.013926	vapor
176.87	37.105	3048.7	0.00032801	1.6484	2.8655	110.73	14.165	31.808	235.87	0.79978	1.6088e-05	0.014254	vapor
176.87	39.684	3313.9	0.00030176	1.6016	2.7991	109.90	14.312	33.093	235.16	0.78839	1.6296e-05	0.014607	vapor
176.87	42.263	3588.8	0.00027865	1.5533	2.7309	109.09	14.463	34.490	234.49	0.77638	1.6519e-05	0.014986	vapor
176.87	44.842	3874.1	0.00025813	1.5034	2.6609	108.30	14.619	36.011	233.85	0.76372	1.6758e-05	0.015396	vapor
176.87	47.421	4170.6	0.00023977	1.4520	2.5890	107.53	14.779	37.670	233.26	0.75036	1.7015e-05	0.015837	vapor
176.87	50.000	4479.2	0.00022325	1.3988	2.5151	106.78	14.944	39.481	232.72	0.73627	1.7292e-05	0.016312	vapor

